Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.16,-0.27,-0.05,-0.35,-0.13,-0.02,-0.8,-0.43,-0.26,-0.16,-0.1,-0.04,0.05,0.63
1881,-0.08,-0.16,0,-0.32,0.1,-0.07,-0.9,-0.4,-0.18,0.1,0.11,-0.05,-0.07,0.56
1882,-0.1,-0.19,-0.01,-0.28,-0.05,0.01,-1.4,-0.23,-0.11,-0.05,-0.05,0.01,0.04,0.59
1883,-0.16,-0.26,-0.07,-0.31,-0.16,-0.01,-0.18,-0.52,-0.22,-0.17,-0.15,-0.04,0.07,0.46
1884,-0.28,-0.41,-0.15,-0.58,-0.15,-0.14,-1.28,-0.62,-0.44,-0.13,-0.16,-0.19,-0.02,0.61
1885,-0.32,-0.41,-0.24,-0.62,-0.13,-0.28,-1.46,-0.64,-0.44,-0.05,-0.2,-0.33,-0.15,0.78
1886,-0.3,-0.41,-0.2,-0.54,-0.19,-0.22,-1.54,-0.45,-0.39,-0.2,-0.18,-0.2,-0.21,0.55
1887,-0.35,-0.41,-0.29,-0.5,-0.29,-0.29,-1.72,-0.46,-0.28,-0.28,-0.3,-0.28,-0.26,0.28
1888,-0.16,-0.21,-0.12,-0.39,0.1,-0.29,-1.26,-0.37,-0.23,0.08,0.12,-0.31,-0.23,0.12
1889,-0.1,-0.15,-0.05,-0.27,0.08,-0.17,-0.64,-0.17,-0.26,0.03,0.13,-0.16,-0.16,0.41
1890,-0.35,-0.37,-0.33,-0.44,-0.37,-0.23,-1.09,-0.53,-0.27,-0.26,-0.48,-0.18,-0.27,0.11
1891,-0.22,-0.24,-0.2,-0.41,-0.08,-0.22,-1.11,-0.29,-0.36,0.01,-0.17,-0.18,-0.24,-0.19
1892,-0.27,-0.38,-0.16,-0.42,-0.3,-0.09,-1.15,-0.61,-0.17,-0.32,-0.27,0.02,-0.22,0.05
1893,-0.31,-0.46,-0.16,-0.5,-0.36,-0.05,-0.7,-0.5,-0.46,-0.41,-0.31,0.06,-0.2,-0.08
1894,-0.3,-0.37,-0.22,-0.31,-0.33,-0.24,-0.96,-0.28,-0.18,-0.47,-0.19,-0.15,-0.35,-0.41
1895,-0.22,-0.28,-0.16,-0.38,-0.07,-0.26,-0.65,-0.47,-0.26,-0.13,-0.01,-0.2,-0.32,-0.62
1896,-0.11,-0.18,-0.04,-0.33,0.1,-0.16,-0.89,-0.32,-0.21,0.06,0.13,-0.16,-0.13,0.22
1897,-0.11,-0.15,-0.06,-0.33,0.17,-0.24,-0.55,-0.42,-0.23,0.14,0.19,-0.2,-0.27,0.37
1898,-0.26,-0.26,-0.27,-0.31,-0.23,-0.27,-1.09,-0.16,-0.22,-0.18,-0.28,-0.28,-0.21,0.34
1899,-0.17,-0.19,-0.15,-0.21,-0.12,-0.19,-0.99,-0.05,-0.14,-0.16,-0.09,-0.16,-0.22,0.55
1900,-0.08,-0.07,-0.07,-0.17,0.17,-0.3,-0.52,-0.09,-0.15,0.09,0.24,-0.29,-0.29,0.23
1901,-0.15,-0.11,-0.19,-0.14,-0.04,-0.31,-0.39,-0.07,-0.13,-0.06,-0.02,-0.28,-0.34,0.22
1902,-0.28,-0.32,-0.23,-0.52,-0.04,-0.35,-1.38,-0.48,-0.32,-0.02,-0.06,-0.28,-0.43,-0.08
1903,-0.37,-0.37,-0.37,-0.45,-0.29,-0.39,-0.26,-0.39,-0.55,-0.23,-0.34,-0.35,-0.4,-0.5
1904,-0.47,-0.47,-0.47,-0.49,-0.47,-0.44,-0.16,-0.56,-0.54,-0.44,-0.51,-0.37,-0.49,-1.32
1905,-0.26,-0.28,-0.24,-0.39,-0.1,-0.36,-0.03,-0.19,-0.61,-0.12,-0.07,-0.33,-0.37,-0.34
1906,-0.22,-0.22,-0.22,-0.24,-0.2,-0.24,-0.25,-0.03,-0.38,-0.21,-0.2,-0.21,-0.22,-0.72
1907,-0.39,-0.46,-0.31,-0.57,-0.31,-0.3,-0.55,-0.69,-0.51,-0.3,-0.33,-0.21,-0.37,-1.2
